stop_id,stop_code,stop_lat,stop_lon
HANMAIN,36,39.956666,-82.77903
MOUWAYW,54,39.938547,-83.062991
MOREASS,281,40.048117,-82.920331
SOUTER4,411,39.957159,-82.999083
SOUTER7,427,39.956582,-82.998852
NORTER2,429,39.965888,-83.002424
NORTER3,440,39.965808,-83.002412
SOUTER9,454,39.956385,-82.998815
NORTER4,455,39.965718,-83.002388
SOUTER3,467,39.957014,-82.998932
SOUTER6,478,39.956947,-82.999042
SOUTER8,498,39.956731,-82.998992
SOUTER5,524,39.956788,-82.998889
NORTER1,525,39.965968,-83.002436
NORTER5,568,39.965638,-83.002376
TECAEPE,932,39.999869,-82.853016
HIGHOSS,1059,39.92302,-82.995545
LIVBULW,1086,39.948836,-82.951647
CLEMOUN,1089,39.969554,-82.99037
CLEJACN,1091,39.972493,-82.990132
CLE2NDN,1094,39.982199,-82.989389
CLESHON,1098,39.988178,-82.987305
CLECAMN,1099,39.990831,-82.984583
CLE11TN,1100,39.993413,-82.981879
CLECHIN,1101,39.995615,-82.979577
CLEWINN,1102,39.997133,-82.977974
CLE15TN,1103,39.998468,-82.976803
CLE17TN,1104,40.000675,-82.975318
RIDREDW,1105,40.023016,-83.070025
CLE19TN,1106,40.002498,-82.974205
CLEDUXN,1110,40.008692,-82.970345
CLECORN,1111,40.011141,-82.968854
CLEHUDN,1113,40.014283,-82.966885
CLEREPN,1114,40.015552,-82.966119
CLEGENN,1116,40.01941,-82.964762
CLEWEBN,1118,40.022961,-82.964612
CLELAKN,1119,40.025778,-82.964395
CLENORBN,1122,40.029775,-82.964074
CLEOAKN,1123,40.031028,-82.963947
CLEHUYN,1124,40.035966,-82.962985
INNDERE,1125,40.037124,-82.958278
INNUSPW,1127,40.037179,-82.955294
CLEHUYS,1132,40.035916,-82.963297
CLEOAKS,1134,40.03154,-82.964134
CLENORS,1135,40.029236,-82.964277
CLEWELS,1136,40.027433,-82.964417
CLELAKS,1137,40.025441,-82.964577
CLEWEBS,1139,40.02293,-82.964823
CLEABES,1140,40.02034,-82.965028
CLEGENS,1141,40.019214,-82.965118
CLEHUDS,1143,40.013425,-82.967624
CLECORS,1144,40.010981,-82.969128
CLEMAYS,1145,40.009574,-82.969991
CLE26TS,1146,40.007815,-82.971065
CLE24TS,1147,40.006441,-82.971912
CLE22NS,1148,40.004542,-82.97307
CLE18TS,1150,40.001395,-82.975098
CLE17TS,1151,39.99993,-82.976077
CLE15TS,1152,39.998827,-82.976748
CLECHIS,1154,39.995158,-82.980264
CLE11TS,1155,39.993929,-82.981548
CLECAMS,1157,39.990797,-82.984812
CLEESSS,1158,39.98779,-82.987898
CLE2NDS,1162,39.981173,-82.989635
CLE427S,1163,39.972679,-82.990338
CLEMOUS,1166,39.969412,-82.990554
BRODOUE,1167,39.964733,-82.977962
BROMAPE,1168,39.973168,-82.901904
BROCOLE,1169,39.973432,-82.899294
BROHOLE,1170,39.975546,-82.879085
BROCARE,1171,39.977563,-82.860342
BROCARW,1172,39.977818,-82.859826
HAMETNN,1174,39.964279,-82.875928
HIGRUSN,1178,39.975825,-83.003188
