Hour,Frequency,ATTP_gtfs,TR_gtfs,ATTP_apc,TR_apc
5:00,2.045742991,1.849666667,3.17,1.400166667,1.45
6:00,2.396223258,2.355666667,5,2.318833333,4.19
7:00,2.451561324,2.9855,6.47,2.887,7.19
8:00,2.237466538,3.367333333,6.94,3.876333333,8.7
9:00,2.237084414,3.263333333,6.49,4.0615,8.08
10:00,2.238816776,3.139,5.99,3.833333333,7.41
11:00,2.240349124,3.302833333,6.37,3.9145,7.21
12:00,2.251536419,3.486333333,6.93,4.166666667,7.83
13:00,2.11563005,3.545166667,7.14,4.323666667,8.28
14:00,2.365298686,4.247333333,7.68,4.376333333,8.42
15:00,1.74502104,4.541,8.48,5.5445,9.21
16:00,1.661424575,5.102833333,9.41,5.356,9.89
17:00,2.25104737,5.171,10.15,6.766166667,11.54
18:00,2.175410977,4.548666667,9.18,6.158833333,12.08
19:00,2.151409309,3.846166667,7.44,5.198833333,10.17
20:00,1.882574572,3.761166667,6.08,4.496166667,8.24
21:00,1.767490091,3.969,5.77,4.7845,7.18
22:00,1.480801505,4.467166667,6.1,5.638166667,8
23:00,1.366217618,4.686,6.56,6.039833333,8.35
